Drug,Symptom,Count
acid,hyperammonemia,5
metformin,acidosis,5
amiodarone,pulmonary,5
clozapine,seizures,5
sumatriptan,coronary,5
drug,injury,5
-,infarction,5
-,arthritis,5
-,the,5
tryptophan,syndrome,5
drug,myocardial,5
niacin,visual,5
rituximab,coronary,5
interferon,retinopathy,5
2b,c,5
quinapril,cough,5
interferon,neuropathy,5
lithium,creutzfeldt,5
bcnu,fibrosis,5
bcnu,pulmonary,5
phenytoin,syndrome,5
interferon,ischemic,5
metoclopramide,syndrome,5
interferon,anterior,5
methotrexate,interstitial,5
mtx,gastric,5
alfa,hepatitis,5
phenobarbital,hypersensitivity,5
colchicine,rhabdomyolysis,5
alfa,cutaneous,5
interferon,sarcoidosis,5
interferon,cutaneous,5
ifn,syndrome,5
cisplatin,anaphylactoid,5
paclitaxel,fibrosis,5
-,diabetes,5
-,mellitus,5
pegylated,hepatitis,5
alendronate,scleritis,5
lithium,jakob,5
sertraline,rhabdomyolysis,5
2a,c,5
rifabutin,deposits,5
niacin,symptoms,5
carbamazepine,-,5
methotrexate,fibrosis,5
tryptophan,myalgia,5
alfa,optic,5
l,leukemia,5
recombinant,chronic,5
alpha,syndrome,5
imatinib,cml,5
drug,reaction,5
tryptophan,eosinophilia,5
zuclopenthixol,priapism,5
calcium,syndrome,5
disulfiram,catatonia,5
5,symptom,5
tacrolimus,pigmentation,4
clozapine,effusion,4
colchicine,muscle,4
verapamil,hypotension,4
immunoglobulin,acute,4
ribavirin,diabetes,4
infliximab,syndrome,4
nicotinic,hepatic,4
5,pancreatitis,4
ribavirin,mellitus,4
lithium,pulmonary,4
2a,chronic,4
plasminogen,hemorrhage,4
b,overdose,4
activator,hemorrhage,4
amsacrine,myocardial,4
alfa,leukemia,4
alfa,necrosis,4
interferon,necrosis,4
lithium,hypertension,4
suramin,failure,4
amphotericin,overdose,4
-,sjs,4
tissue,hemorrhage,4
-,cardiomyopathy,4
minocycline,autoimmune,4
suramin,renal,4
drug,toxic,4
bleomycin,s,4
2a,hepatitis,4
mmc,hemolytic,4
fludarabine,cll,4
acid,pancreatitis,4
bicalutamide,prostate,4
griseofulvin,lupus,4
isoniazid,tuberculosis,4
clomipramine,syndrome,4
cisplatin,erythema,4
rifabutin,endothelial,4
tamoxifen,uterine,4
tamoxifen,adenocarcinoma,4
raloxifene,tumor,4
isotretinoin,acne,4
ampicillin,rash,4
corticosteroid,leishmaniasis,4
mmc,hus,4
interferon,symptoms,4
tamoxifen,sarcoma,4
drug,agranulocytosis,4
interferon,symptom,4
baclofen,fever,4
infliximab,like,4
-,eruptions,4
aminosalicylic,pancreatitis,4
fludarabine,leukemia,4
acid,hepatic,4
sulfamethoxazole,anemia,4
colchicine,mediterranean,4
sulfamethoxazole,hemolytic,4
bleomycin,',4
-,colitis,4
clonidine,bradycardia,4
chemotherapy,coronary,4
aminosalicylic,acute,4
nicotinic,failure,4
acid,failure,4
recombinant,hepatitis,4
nicotinic,liver,4
colchicine,fever,4
trimethoprim,anemia,4
trimethoprim,hemolytic,4
alpha,disorders,4
acid,liver,4
tigecycline,acute,4
ifn,acuity,4
recombinant,c,4
theophylline,gynecomastia,4
budesonide,dermatitis,4
alpha,hashimoto,4
fludarabine,pulmonary,4
drug,rash,4
-,aplasia,4
verapamil,supraventricular,4
drug,hepatic,4
morphine,depression,4
amifostine,fever,4
topiramate,glaucoma,4
topiramate,closure,4
topiramate,angle,4
mefloquine,hypoglycaemia,4
tacrolimus,syndrome,4
-,uremic,4
cda,mcd,4
-,mcd,4
2,mcd,4
cisplatin,difficile,4
erlotinib,pulmonary,4
ticlopidine,aplasia,4
sulfasalazine,lupus,4
ifn,autoimmune,4
fludarabine,toxicity,4
alfa,anterior,4
alfa,ischemic,4
lithium,cdi,4
-,proteinuria,4
alfa,neuropathy,4
aspirin,hemorrhage,4
olanzapine,neuroleptic,4
olanzapine,malignant,4
mitomycin,-,4
metoclopramide,parkinsonism,4
rifabutin,uveitis,4
-,pancytopenia,4
quinacrine,maculopathy,4
-,cutaneous,4
l,syndrome,4
doxorubicin,myelopathy,4
hydroxyurea,skin,4
ticlopidine,aplastic,4
ticlopidine,anemia,4
gemcitabine,-,4
salicylate,hepatotoxicity,4
capecitabine,reactions,4
-,embolization,4
-,heart,4
cisplatin,anaphylaxis,4
vincristine,visual,4
norethisterone,gestational,4
insulin,diabetes,4
olanzapine,rls,4
lithium,malignant,4
methotrexate,anaphylaxis,4
lithium,neuroleptic,4
-,acne,4
foscarnet,disorders,4
foscarnet,electrolyte,4
bleomycin,scleroderma,4
sirolimus,pneumonitis,4
sulfasalazine,symptom,4
psl,fracture,4
sulfonate,colonic,4
fk506,rta,4
5,of,4
amiodarone,ait,4
lithium,thyrotoxicosis,4
streptokinase,pulmonary,4
mizoribin,siadh,4
interferon,active,4
alpha,active,4
l,disease,4
l,',4
levofloxacin,delirium,4
beta,',4
beta,s,4
mtx,hiv,4
niacin,maculopathy,4
1a,',4
1a,s,4
-,crohn,4
latanoprost,cystoid,4
interferon,melanoma,4
latanoprost,edema,4
budesonide,contact,4
etanercept,as,4
treosulfan,acute,4
treosulfan,leukemia,4
lithium,nephrogenic,4
lithium,polyuria,4
etanercept,hypoglycemia,4
ivig,failure,4
ivig,renal,4
ivig,acute,4
danazol,endometriosis,4
teicoplanin,neutropenia,4
chlorambucil,syndrome,4
amiodarone,hepatitis,4
lorazepam,seizures,4
chloramphenicol,hypersensitivity,4
cisplatin,inappropriate,4
cisplatin,siadh,4
verapamil,symptom,4
cephalexin,rash,4
bromide,intoxication,4
bretylium,ventricular,4
ifn,thyroid,4
-,autoimmune,4
interferon,thyroid,4
propylthiouracil,cutaneous,4
propylthiouracil,vasculitis,4
azithromycin,rhabdomyolysis,4
drug,rhabdomyolysis,4
procainamide,lupus,4
mtx,pulmonary,4
risperidone,syndrome,4
thalidomide,neuropathy,4
adenosine,ventricular,4
enoxaparin,hepatotoxicity,4
bisphosphonate,of,4
bisphosphonate,the,4
amiodarone,toxicity,4
heparin,renal,4
sulpiride,dyskinesia,4
rituximab,syndromes,4
-,psoriasis,4
procainamide,syndrome,4
mtx,liver,4
chemotherapy,s,4
chemotherapy,',4
drug,s,4
drug,',4
alpha,legs,4
alpha,restless,4
carbamazepine,erythematosus,4
propranolol,block,4
drug,liver,4
cytosine,peripheral,4
arabinoside,peripheral,4
interferon,infection,4
mirtazapine,ss,4
bimatoprost,edema,4
bimatoprost,cystoid,4
carbamazepine,lupus,4
carbamazepine,systemic,4
chloroquine,toxicity,4
etanercept,cd,4
-,neuropathy,4
amiodarone,thyroiditis,4
-,carcinoma,4
acyclovir,fever,4
amantadine,edema,4
ciprofloxacin,renal,4
heparin,failure,4
-,lesions,4
vasopressin,renal,4
disulfiram,fulminant,4
bortezomib,paralytic,4
fluvoxamine,symptom,4
bortezomib,ileus,4
mesylate,chronic,4
imatinib,chronic,4
indapamide,hypertension,4
sulpiride,tardive,4
drug,like,4
ciprofloxacin,hemorrhagic,4
trazodone,disorder,4
caffeine,rhabdomyolysis,4
-,seizure,4
ritodrine,av,4
ritodrine,block,4
methotrexate,leukemia,4
pravastatin,myotonia,4
lamotrigine,purpura,4
chloroquine,ptosis,4
-,thrombosis,4
d,hypercalcemia,4
amiodarone,ventricular,4
minocycline,acne,4
fu,-,4
aquaphor,dermatitis,4
rifampicin,renal,4
sulfamethoxazole,meningitis,4
nitrofurantoin,lung,4
all,promyelocytic,4
all,leukemia,4
-,thrombocytopenia,4
phenytoin,fever,4
gliclazide,hepatitis,4
rituximab,syndrome,4
acid,syndrome,4
ifosfamide,ncse,4
mtx,rheumatoid,4
methotrexate,bone,4
ifn,nephrotic,4
mtx,lpd,4
ccnu,pulmonary,4
methotrexate,encephalopathy,4
sorafenib,interstitial,4
ciprofloxacin,vasculitis,4
phenytoin,seizures,4
gliclazide,acute,4
asparaginase,thrombosis,4
-,liver,4
carbamazepine,dystonia,4
naproxen,hearing,4
naproxen,loss,4
5,disease,4
sodium,renal,4
-,dyskinesias,4
heparin,syndrome,4
bisabolol,dermatitis,4
chemotherapy,leukemia,4
sulfamethoxazole,aseptic,4
retinoic,promyelocytic,4
trans,promyelocytic,4
acid,leukemia,4
inhibitor,renal,4
heparin,hyperkalemia,4
acid,promyelocytic,4
hopantenate,syndrome,4
retinoic,leukemia,4
insulin,symptom,4
alpha,akathisia,4
drug,nephritis,4
thrombin,arterial,4
-,meningitis,4
nph,allergic,4
rituximab,-,4
ifn,ms,4
trans,leukemia,4
carbamazepine,eruptions,4
trimethoprim,aseptic,4
trimethoprim,meningitis,4
metformin,lactic,4
-,aseptic,4
drug,chronic,3
bleomycin,aids,3
chlorambucil,nephrotic,3
mequitazine,reaction,3
5,cardiotoxicity,3
-,cardiotoxicity,3
warfarin,bleeding,3
infliximab,thrombosis,3
etanercept,thymic,3
interferon,b,3
griseofulvin,syndrome,3
alpha,cardiomyopathy,3
alpha,b,3
propionate,adrenal,3
cisplatin,tumor,3
penicillamine,glomerulonephritis,3
calcium,-,3
fluvoxamine,akathisia,3
carbonate,syndrome,3
fluticasone,suppression,3
-,hypersensitivity,3
cresol,mh,3
alpha,symptoms,3
propionate,suppression,3
chlorambucil,toxicity,3
griseofulvin,nephrotic,3
chlorambucil,central,3
carbamazepine,syndrome,3
dexamethasone,osteonecrosis,3
losartan,angioedema,3
procainamide,tachycardia,3
drug,hypoglycaemia,3
erlotinib,lung,3
diltiazem,fever,3
octreotide,acromegaly,3
oxcarbazepine,angioedema,3
cisplatin,cancer,3
dorzolamide,choroidal,3
chlorambucil,nervous,3
-,hypoglycaemia,3
vancomycin,reaction,3
naproxen,sensorineural,3
adriamycin,cardiotoxicity,3
alpha,symptom,3
clozapine,death,3
cisplatin,ovarian,3
ciprofloxacin,psychosis,3
sumatriptan,vasospasm,3
venlafaxine,serotonin,3
venlafaxine,syndrome,3
metoclopramide,serotonin,3
methotrexate,abnormalities,3
accutane,myopia,3
-,glomerulonephritis,3
ceftriaxone,biliary,3
nsaid,loss,3
trazodone,movement,3
ribavirin,infection,3
drug,ss,3
niacin,dental,3
penicillamine,neuropathy,3
niacin,and,3
niacin,gingival,3
niacin,pain,3
penicillamine,optic,3
desipramine,ejaculation,3
human,lipoatrophy,3
-,fever,3
prednisone,cell,3
lithium,ndi,3
aspirin,symptom,3
-,malignant,3
-,melanoma,3
brimonidine,system,3
beta,malignant,3
beta,melanoma,3
brimonidine,nervous,3
brimonidine,central,3
-,eosinophilia,3
methylprednisolone,',3
drug,thrombocytopenia,3
alfa,infection,3
oxaliplatin,hemolytic,3
itraconazole,liver,3
gamma,sle,3
d,glomerulonephritis,3
magnesium,neuromuscular,3
trimethoprim,syndrome,3
disopyramide,de,3
lithium,like,3
fu,dpd,3
-,rheumatoid,3
neuroleptic,akathisia,3
acetazolamide,osteomalacia,3
sulfoxide,cystitis,3
dimethyl,cystitis,3
-,dpd,3
methylprednisolone,disease,3
ofloxacin,seizures,3
gabapentin,renal,3
d,arthritis,3
methotrexate,pain,3
methylprednisolone,suppression,3
methylprednisolone,adrenal,3
insulin,symptoms,3
5,dpd,3
protamine,hypersensitivity,3
clozapine,eosinophilia,3
d,rheumatoid,3
interferon,virus,3
nsaid,hearing,3
infliximab,hypersensitivity,3
cholestyramine,metabolic,3
ifosfamide,nonconvulsive,3
immunoglobulin,failure,3
acid,fluorosis,3
indinavir,necrosis,3
indinavir,papillary,3
mtx,failure,3
indinavir,nephrolithiasis,3
niflumic,fluorosis,3
peginterferon,c,3
colchicine,corneal,3
colchicine,ulcers,3
peginterferon,hepatitis,3
peginterferon,chronic,3
-,pneumonia,3
d,thrombocytopenia,3
vancomycin,neutropenia,3
penicillamine,wilson,3
penicillamine,lesions,3
5,s,3
5,',3
b,aids,3
interferon,koyanagi,3
interferon,harada,3
chlorambucil,chronic,3
ptu,hepatic,3
doxorubicin,acute,3
ciprofloxacin,nephritis,3
amphotericin,aids,3
5,crohn,3
ciprofloxacin,interstitial,3
amiodarone,torsades,3
amiodarone,pointes,3
ptu,hepatitis,3
cisplatin,hypotension,3
penicillamine,hepatotoxicity,3
immunoglobulin,renal,3
olanzapine,akathisia,3
dipivefrin,entropion,3
danazol,diabetes,3
quinine,hypersensitivity,3
mtx,psa,3
gemcitabine,bullous,3
etanercept,tuberculous,3
-,ulceration,3
nitrofurantoin,damage,3
digoxin,ventricular,3
bisphosphonate,osteonecrosis,3
clozapine,-,3
nitrofurantoin,liver,3
-,loss,3
clozapine,resistant,3
didanosine,fulminant,3
rofecoxib,symptom,3
cyclosporine,pain,3
quinine,tma,3
cbz,pancreatitis,3
cbz,acute,3
cephalexin,infectious,3
lamotrigine,apnea,3
penicillamine,',3
penicillamine,disease,3
fluorouracil,acute,3
methimazole,agranulocytosis,3
inhibitor,hypotension,3
cephalexin,mononucleosis,3
quinine,thrombotic,3
citalopram,syndrome,3
citalopram,serotonin,3
naloxone,pain,3
infliximab,osteomyelitis,3
drug,extrapyramidal,3
quinine,ttp,3
interferon,vogt,3
chemotherapy,disease,3
indapamide,essential,3
alpha,sarcoidosis,3
atovaquone,vortex,3
g,neutrophilic,3
lenalidomide,aplastic,3
lenalidomide,anemia,3
ciprofloxacin,insufficiency,3
-,neutropenia,3
-,dermatoses,3
sodium,hyperphosphatemia,3
alpha,anemia,3
acyclovir,pleural,3
procainamide,granulocytopenia,3
chemotherapy,cancer,3
cyclosporine,herpes,3
sodium,failure,3
cyclosporine,esophagitis,3
atovaquone,keratopathy,3
drug,hearing,3
quinine,hearing,3
methotrexate,marrow,3
gemcitabine,pulmonary,3
imatinib,myeloid,3
cholestyramine,acidosis,3
tobramycin,tetany,3
sorafenib,pneumonia,3
mesylate,myeloid,3
bleomycin,pneumonitis,3
quinine,loss,3
bleomycin,syndrome,3
drug,pneumonitis,3
amphotericin,arrest,3
flecainide,-,3
propafenone,syndrome,3
-,painful,3
2b,hepatitis,3
a,herpes,3
sulphasalazine,rheumatoid,3
enoxaparin,thrombocytosis,3
nevirapine,leukopenia,3
aspirin,rs,3
quetiapine,overdose,3
mtx,-,3
ribavirin,disease,3
cisplatin,hormone,3
cisplatin,antidiuretic,3
glatiramer,panniculitis,3
acetate,panniculitis,3
-,coma,3
c,-,3
cisplatin,syndrome,3
danazol,damage,3
sulphasalazine,syndrome,3
sulphasalazine,arthritis,3
8,systemic,3
8,allergic,3
8,contact,3
clofibrate,diabetes,3
a,esophagitis,3
mtx,hepatic,3
5,peripheral,3
5,neuropathy,3
-,peripheral,3
clofibrate,insipidus,3
clofibrate,myopathy,3
8,dermatitis,3
l,dyskinesias,3
amantadine,dyskinesias,3
doxorubicin,cardiac,3
alpha,psoriasis,3
interferon,psoriasis,3
drug,nms,3
fluticasone,adrenal,3
ifosfamide,toxicity,3
vinblastine,of,3
lithium,exophthalmos,3
drug,diseases,3
hydroxychloroquine,loss,3
mtx,psoriasis,3
hydroxychloroquine,toxicity,3
fu,symptom,3
pregabalin,myoclonus,3
-,lymphoblastic,3
ritodrine,degree,3
ritodrine,-,3
ritodrine,second,3
d,acute,3
asparaginase,lymphoblastic,3
anastrozole,sclerosing,3
anastrozole,glomerulonephritis,3
sulfasalazine,skin,3
fu,of,3
propylthiouracil,failure,3
sulfasalazine,ulcerative,3
imatinib,ks,3
hydroxyurea,myeloid,3
alpha,infection,3
carbamazepine,symptom,3
arabinoside,syndrome,3
pegvisomant,hepatitis,3
l,myoclonus,3
-,myoclonus,3
d,syndrome,3
dopa,myoclonus,3
dopa,seizures,3
chemotherapy,myelogenous,3
clozapine,akathisia,3
risperidone,schizophrenia,3
propylthiouracil,hepatitis,3
acetazolamide,acidosis,3
drug,dysfunction,3
sulfasalazine,colitis,3
-,cerebellar,3
drug,visual,3
zonisamide,visual,3
gabapentin,epilepticus,3
gabapentin,status,3
acid,coma,3
trimethoprim,hepatitis,3
brimonidine,iop,3
thalidomide,tachycardia,3
thalidomide,ventricular,3
-,inflammatory,3
olanzapine,symptom,3
amphotericin,toxicity,3
drug,gravis,3
clarithromycin,toxicity,3
drug,myasthenia,3
allopurinol,hypersensitivity,3
zonisamide,hallucinations,3
vasopressin,rhabdomyolysis,3
itraconazole,onychomycosis,3
trimethoprim,orthostatic,3
methazolamide,agranulocytosis,3
sulfasalazine,bowel,3
baclofen,sexual,3
methazolamide,anemia,3
sulfamethoxazole,hypotension,3
-,venous,3
sulfamethoxazole,orthostatic,3
-,sle,3
corticosteroids,s,3
sulfamethoxazole,hepatitis,3
-,orthostatic,3
cbz,tics,3
trimethoprim,hypotension,3
5,syndrome,3
valproate,camptocormia,3
clozapine,schizophrenic,3
l,myocardial,3
mineral,elp,3
clozapine,granulocytopenia,3
didanosine,-,3
-,polyneuropathy,3
5,symptoms,3
5,polyneuropathy,3
carbamazepine,hyponatremia,3
simvastatin,muscle,3
ampicillin,nephritis,3
ampicillin,interstitial,3
5,neurologic,3
5,toxicity,3
temozolomide,rash,3
insulin,hyperinsulinaemia,3
insulin,hyperglycaemia,3
2b,leukemia,3
insulin,oedema,3
warfarin,sub,3
warfarin,-,3
l,infarction,3
warfarin,conjunctival,3
drug,lupus,3
methotrexate,like,3
metoclopramide,purpura,3
ethambutol,renal,3
carbamazepine,cutaneous,3
valproic,lethargy,3
acid,lethargy,3
prednisone,vulgaris,3
prednisone,pemphigus,3
rituximab,hemolytic,3
sodium,dysrhythmia,3
bicarbonate,dysrhythmia,3
warfarin,haematoma,3
prednisolone,syndrome,3
fluoxetine,seizures,3
olanzapine,gain,3
olanzapine,weight,3
alpha,multiple,3
olanzapine,diabetes,3
peginterferon,mellitus,3
ribavirin,type,3
ribavirin,1,3
clindamycin,colitis,3
-,leukopenia,3
l,leukopenia,3
argatroban,renal,3
l,hashimoto,3
argatroban,failure,3
thyroxine,infarction,3
thyroxine,myocardial,3
celiprolol,pneumonitis,3
-,myocardial,3
oil,elp,3
cytosine,syndrome,3
peginterferon,diabetes,3
peginterferon,1,3
peginterferon,type,3
alpha,1,3
dapsone,agranulocytosis,3
fu,neurologic,3
risperidone,obsessive,3
risperidone,-,3
risperidone,compulsive,3
alpha,type,3
alpha,diabetes,3
2b,mellitus,3
alpha,mellitus,3
-,type,3
-,1,3
2b,type,3
2b,1,3
2b,diabetes,3
aminosalicylic,disease,3
acid,-,3
paracetamol,hepatotoxicity,3
vitamin,poisoning,3
zonisamide,acute,3
penicillamine,mammary,3
-,mammary,3
d,mammary,3
drug,complication,3
cladribine,vasculitis,3
zonisamide,kidney,3
alpha,graves,3
zonisamide,injury,3
-,graves,3
vasopressin,skin,3
benzocaine,methemoglobinemia,3
topiramate,myopia,3
topiramate,-,3
rifampin,renal,3
pamidronate,poisoning,3
erlotinib,toxicity,3
amiodarone,neuropathy,3
methotrexate,juvenile,3
itraconazole,tremor,3
2,disease,3
erlotinib,-,3
foscarnet,acidosis,3
vrc,-,3
vrc,oedema,3
-,lymphoma,3
d,poisoning,3
bupropion,seizures,3
tissue,choroidal,3
plasminogen,choroidal,3
activator,choroidal,3
ibuprofen,erythematosus,3
ibuprofen,lupus,3
ibuprofen,systemic,3
bleomycin,pulmonary,3
minocycline,cutaneous,3
rifampin,thrombocytopenia,3
cyclosporine,rhabdomyolysis,3
hydroxyurea,cancers,3
ramipril,vasculitis,3
inh,seizures,3
methylprednisolone,reaction,3
paroxetine,hair,3
paroxetine,loss,3
infliximab,arthritis,3
sulfamethoxazole,syndrome,3
-,and,3
insulin,urticaria,3
insulin,angioedema,3
chloroquine,maculopathy,3
fu,neurotoxicity,3
5,cerebellar,3
5,dysfunction,3
corticosteroid,glaucoma,3
ramipril,cutaneous,3
triamcinolone,glaucoma,3
ifosfamide,',3
clozapine,neutropenia,3
clozapine,td,3
-,complications,3
benzarone,hepatitis,3
clozapine,dyskinesia,3
drug,fibrosis,3
ifosfamide,wilms,3
rfp,hypothyroidism,3
drug,disorder,3
methylphenidate,attention,3
methylphenidate,deficit,3
methylphenidate,disorder,3
methylphenidate,drug,3
furosemide,fever,3
foscarnet,renal,3
foscarnet,insipidus,3
ifn,chf,3
alendronate,nodular,3
beta,hepatotoxicity,3
calcium,colonic,3
levofloxacin,psychotic,3
aspirin,asthma,3
levofloxacin,features,3
1a,sclerosis,3
1a,multiple,3
mannitol,arf,3
methotrexate,cancer,3
mtx,cancer,3
beta,injury,3
mannitol,nephrotoxicity,3
niacin,symptom,3
beta,liver,3
phenol,loss,3
cyclophosphamide,carcinoma,3
fosinopril,cough,3
foscarnet,diabetes,3
ace,cough,3
recombinant,failure,3
vincristine,nerve,3
cytarabine,ppe,3
