Drug,Symptom,Count
alfa,[cls],20
drug,b,20
doxorubicin,symptom,20
[cls],liver,20
propylthiouracil,[cls],20
acetate,symptom,20
-,-,20
disulfiram,symptom,20
disulfiram,[cls],20
[cls],loss,20
recombinant,symptom,20
drug,weakness,20
etanercept,symptom,20
drug,epilepsy,20
drug,gastrointestinal,20
[cls],cutaneous,20
drug,epidermal,20
drug,epilepticus,20
doxorubicin,[cls],20
drug,necrolysis,20
tacrolimus,symptom,20
quetiapine,symptom,19
lamotrigine,symptom,19
drug,nervous,19
lamotrigine,[cls],19
aspirin,[cls],19
aspirin,symptom,19
drug,hypothyroidism,19
[cls],eruption,19
quetiapine,[cls],19
nitrofurantoin,symptom,19
drug,hyperkalemia,19
valproic,[cls],19
capecitabine,symptom,19
[cls],visual,19
etanercept,[cls],19
capecitabine,[cls],19
lithium,-,19
fludarabine,symptom,19
imatinib,symptom,19
recombinant,[cls],19
drug,psychosis,19
fludarabine,[cls],18
drug,contact,18
drug,impairment,18
drug,anaphylactoid,18
phosphate,symptom,18
[cls],of,18
drug,cerebral,18
methylprednisolone,symptom,18
azathioprine,[cls],18
azathioprine,symptom,18
[cls],',18
drug,hiv,18
-,renal,18
[cls],lung,18
gold,symptom,18
2,symptom,18
drug,hus,18
imatinib,[cls],18
methotrexate,acute,18
drug,uremic,18
drug,ovarian,18
lithium,syndrome,18
nitrofurantoin,[cls],18
carboplatin,symptom,18
drug,tardive,18
drug,erythema,18
drug,ischemic,18
drug,de,18
drug,coma,18
trimethoprim,symptom,18
drug,graves,18
sulfamethoxazole,symptom,18
ribavirin,hepatitis,17
[cls],seizures,17
drug,system,17
clarithromycin,[cls],17
drug,type,17
metoclopramide,symptom,17
[cls],cardiac,17
methotrexate,arthritis,17
tamoxifen,endometrial,17
dapsone,symptom,17
drug,hemorrhagic,17
[cls],and,17
drug,sarcoma,17
[cls],skin,17
drug,hypoglycemia,17
phosphate,[cls],17
[cls],injury,17
clarithromycin,symptom,17
ampicillin,[cls],17
[cls],hypertension,17
ribavirin,c,17
ampicillin,symptom,17
metoclopramide,[cls],17
drug,marrow,17
alpha,disease,17
[cls],overdose,17
agent,symptom,17
2,[cls],17
drug,hearing,17
drug,nephrotoxicity,17
methylprednisolone,[cls],17
agent,[cls],17
drug,methemoglobinemia,17
hydroxyurea,[cls],17
hydroxyurea,symptom,17
drug,bone,17
drug,siadh,17
drug,stroke,16
erlotinib,[cls],16
[cls],rhabdomyolysis,16
drug,macular,16
drug,priapism,16
vasopressin,symptom,16
drug,hyperglycemia,16
morphine,symptom,16
mp,renal,16
acetate,[cls],16
drug,prostate,16
methotrexate,rheumatoid,16
drug,neurologic,16
carboplatin,[cls],16
drug,effusion,16
erlotinib,symptom,16
drugs,symptom,16
drug,artery,16
[cls],hepatotoxicity,16
drug,pointes,15
drug,infected,15
sertraline,[cls],15
drug,angioedema,15
drug,),15
[cls],the,15
drug,(,15
vasopressin,[cls],15
corticosteroids,symptom,15
[cls],pain,15
[cls],heart,15
drugs,[cls],15
trimethoprim,[cls],15
sulfamethoxazole,[cls],15
drug,muscle,15
corticosteroids,[cls],15
drug,aplasia,15
heparin,thrombosis,15
drug,bradycardia,15
rifampicin,symptom,15
cbz,symptom,15
drug,aplastic,15
drug,metabolic,15
dexamethasone,symptom,15
ticlopidine,symptom,15
drug,ocular,15
sulfate,symptom,15
gold,[cls],15
drug,serotonin,15
etoposide,[cls],15
-,multiple,15
etoposide,symptom,15
fluvoxamine,symptom,15
fluvoxamine,[cls],15
-,sclerosis,15
procainamide,[cls],15
drug,bipolar,15
ticlopidine,[cls],15
corticosteroid,symptom,15
dapsone,[cls],15
drug,abnormalities,15
antibiotics,[cls],15
methylphenidate,symptom,15
sertraline,symptom,15
methylphenidate,[cls],15
[cls],hypersensitivity,15
[cls],asthma,15
minocycline,[cls],15
procainamide,symptom,15
dexamethasone,[cls],15
lithium,toxicity,15
minocycline,symptom,15
[cls],s,15
antibiotics,symptom,15
drug,headache,15
drug,hyperthyroidism,15
-,toxicity,14
interferon,syndrome,14
drug,endometrial,14
[cls],vasculitis,14
drug,poisoning,14
cbz,[cls],14
morphine,[cls],14
[cls],diabetes,14
[cls],dysfunction,14
-,encephalopathy,14
drug,death,14
venlafaxine,symptom,14
arabinoside,symptom,14
ibuprofen,[cls],14
drug,nausea,14
drug,acne,14
drug,parkinson,14
corticosteroid,[cls],14
drug,aids,14
drug,insipidus,14
drug,dyspnea,14
drug,corneal,14
methimazole,[cls],14
methimazole,symptom,14
beta,sclerosis,14
beta,multiple,14
drug,thyroid,14
interferon,multiple,14
drug,eruptions,14
chlorambucil,symptom,14
pegylated,symptom,14
drug,myopathy,14
pegylated,[cls],14
sulfasalazine,[cls],14
venlafaxine,[cls],14
phenobarbital,symptom,14
leflunomide,symptom,14
mitomycin,[cls],14
drug,lymphoblastic,14
drug,leukoencephalopathy,14
mitomycin,symptom,14
sulfasalazine,symptom,14
drug,diarrhea,14
arabinoside,[cls],14
rifampicin,[cls],14
ethambutol,optic,14
ibuprofen,symptom,14
[cls],tachycardia,14
magnesium,symptom,13
drug,vision,13
sulfate,[cls],13
steroid,[cls],13
steroid,symptom,13
magnesium,[cls],13
drug,nephropathy,13
[cls],central,13
[cls],nervous,13
drug,cholestatic,13
drug,abdominal,13
drug,dystonia,13
acid,acute,13
drug,neuroleptic,13
cytosine,[cls],13
cytosine,symptom,13
phenobarbital,[cls],13
drug,qt,13
drug,hypercalcemia,13
ribavirin,chronic,13
[cls],infection,13
infliximab,s,13
infliximab,',13
drug,non,13
drug,sle,13
drug,idiopathic,13
drug,psychotic,13
drug,cholestasis,13
interferon,sclerosis,13
drug,anaphylactic,13
drug,thrombotic,13
drug,brain,13
bevacizumab,[cls],13
drug,inappropriate,13
drug,tuberculosis,13
drug,arrest,13
bevacizumab,symptom,13
drug,myoclonus,13
danazol,symptom,13
drug,hepatocellular,13
tamoxifen,carcinoma,13
-,failure,13
drug,myeloid,13
drug,1,12
danazol,[cls],12
propafenone,[cls],12
propafenone,symptom,12
drug,vomiting,12
carboplatin,hypersensitivity,12
drug,field,12
tmp,symptom,12
tmp,[cls],12
cs,leishmaniasis,12
-,nephrotic,12
methotrexate,-,12
levodopa,symptom,12
drug,distress,12
drug,granulocytopenia,12
drug,uveitis,12
-,anemia,12
antibiotic,symptom,12
amantadine,symptom,12
drug,intracranial,12
acetazolamide,symptom,12
[cls],ventricular,12
methotrexate,psoriasis,12
hydrochloride,symptom,12
drug,disturbances,12
acetazolamide,[cls],12
[cls],intoxication,12
drug,oedema,12
[cls],fibrosis,12
drug,hyperplasia,12
drug,scleroderma,12
-,neurotoxicity,12
amiodarone,thyrotoxicosis,12
drug,ten,12
lansoprazole,symptom,12
[cls],bleeding,12
ptu,[cls],12
chlorambucil,[cls],12
[cls],marrow,12
protamine,[cls],12
cytarabine,[cls],12
rifabutin,[cls],12
protamine,symptom,12
drug,ulcerative,12
beta,syndrome,12
rifabutin,symptom,12
drug,purpura,12
[cls],edema,12
drug,glomerulonephritis,12
drug,virus,12
(,symptom,12
lansoprazole,[cls],12
ptu,symptom,12
(,[cls],12
drug,leukaemia,12
drug,thyroiditis,12
drug,withdrawal,12
cytarabine,symptom,12
antibiotic,[cls],11
[cls],neutropenia,11
infliximab,crohn,11
drug,hyperpigmentation,11
drug,pleural,11
drug,posterior,11
-,pulmonary,11
-,pancreatitis,11
drug,proteinuria,11
leflunomide,[cls],11
drug,gravis,11
[cls],anemia,11
adriamycin,symptom,11
retinoic,symptom,11
[cls],dermatitis,11
retinoic,[cls],11
-,of,11
drug,complications,11
drug,myasthenia,11
drug,spinal,11
drug,antidiuretic,11
paclitaxel,[cls],11
drug,angle,11
drug,sepsis,11
aminosalicylic,symptom,11
[cls],cancer,11
drug,gastric,11
csf,symptom,11
drug,anterior,11
[cls],encephalopathy,11
drug,tubular,11
drug,meningitis,11
drug,hormone,11
tobramycin,symptom,11
drug,retinal,11
drug,ra,11
tobramycin,[cls],11
drug,infiltrates,11
[cls],pancreatitis,11
drug,suppression,11
drug,myelosuppression,11
drug,dizziness,11
drug,jaundice,11
[cls],weakness,11
enoxaparin,symptom,11
[cls],leukemia,11
drug,myeloma,11
drug,arrhythmias,11
[cls],peripheral,11
amphotericin,cardiac,11
drug,pancytopenia,11
drug,essential,11
[cls],bone,11
[cls],system,11
levodopa,[cls],11
g,symptom,11
drug,function,11
-,skin,11
factor,symptom,11
interferon,disease,11
adriamycin,[cls],11
triamcinolone,symptom,11
paclitaxel,symptom,11
[cls],optic,11
enoxaparin,[cls],11
thalidomide,symptom,11
linezolid,symptom,11
thalidomide,[cls],11
[cls],damage,11
mtx,toxicity,11
temozolomide,symptom,11
drug,arrhythmia,11
),[cls],11
temozolomide,[cls],11
amantadine,[cls],11
drug,lymphocytic,11
),symptom,11
interferon,optic,10
trazodone,symptom,10
drug,cardiotoxicity,10
cimetidine,[cls],10
zonisamide,symptom,10
[cls],nephrotoxicity,10
drug,delirium,10
cimetidine,symptom,10
tamoxifen,breast,10
drug,movement,10
[cls],chronic,10
antipsychotic,[cls],10
foscarnet,[cls],10
infliximab,disease,10
antagonist,symptom,10
antipsychotic,symptom,10
digoxin,symptom,10
methotrexate,leukoencephalopathy,10
sirolimus,[cls],10
drug,aml,10
[cls],hemorrhage,10
sirolimus,symptom,10
methotrexate,syndrome,10
niacin,symptom,10
gemcitabine,hus,10
b,cardiac,10
hydrochloride,[cls],10
niacin,[cls],10
foscarnet,symptom,10
drug,hypoglycaemia,10
antagonist,[cls],10
triamcinolone,[cls],10
a,symptom,10
alprazolam,symptom,10
drug,ulcers,10
alprazolam,[cls],10
dopa,symptom,10
drug,supraventricular,10
octreotide,symptom,10
brimonidine,[cls],10
drug,weight,10
fluoxetine,akathisia,10
drug,immunodeficiency,10
drug,swelling,10
drug,neurological,10
drug,mononucleosis,10
lithium,diabetes,10
methotrexate,neurotoxicity,10
[cls],like,10
fk506,symptom,10
fk506,[cls],10
drug,hypokalemia,10
lithium,insipidus,10
linezolid,[cls],10
clofazimine,symptom,10
ofloxacin,[cls],10
pegylated,chronic,10
disopyramide,symptom,10
ofloxacin,symptom,10
drug,",",10
dopa,[cls],10
disopyramide,[cls],10
drug,cord,10
csf,[cls],10
-,dermatitis,10
cyclosporin,symptom,10
[cls],respiratory,10
[cls],reaction,10
drug,cml,10
g,[cls],10
drug,extrapyramidal,10
drug,agitation,10
[cls],reactions,10
[cls],impairment,10
neuroleptic,symptom,10
chloroquine,[cls],10
chloroquine,symptom,10
drug,obsessive,10
-,aml,10
neuroleptic,[cls],10
clindamycin,[cls],10
drug,congestive,10
clindamycin,symptom,10
cbdca,hypersensitivity,10
drug,cough,10
drug,ulceration,10
brimonidine,symptom,10
drug,urticaria,9
drug,anxiety,9
aminosalicylic,[cls],9
5,neurotoxicity,9
drug,osteomalacia,9
drug,spasm,9
drug,adrenal,9
penicillamine,disease,9
[cls],hemorrhagic,9
bcnu,symptom,9
drug,juvenile,9
-,symptoms,9
drug,maculopathy,9
imiquimod,symptom,9
ritonavir,symptom,9
[cls],cardiomyopathy,9
ritonavir,[cls],9
carbamazepine,toxicity,9
drug,syncope,9
alpha,',9
drug,ataxia,9
penicillamine,rheumatoid,9
indinavir,symptom,9
drug,papular,9
-,myelogenous,9
fentanyl,symptom,9
fentanyl,[cls],9
drug,hyperammonemia,9
[cls],brain,9
drug,bowel,9
drug,inflammatory,9
drug,sensorineural,9
platinum,hypersensitivity,9
platinum,symptom,9
smx,[cls],9
drug,bullous,9
smx,symptom,9
acyclovir,neurotoxicity,9
-,allergic,9
-,contact,9
drug,torsade,9
drug,infections,9
drug,sinus,9
ethambutol,neuropathy,9
drug,bronchospasm,9
penicillamine,arthritis,9
drug,anaemia,9
ethambutol,tuberculosis,9
indinavir,[cls],9
drug,cystitis,9
cisplatin,of,9
lidocaine,[cls],9
imiquimod,[cls],9
drug,eosinophilic,9
digoxin,[cls],9
methotrexate,leukemia,9
vinblastine,[cls],9
methotrexate,renal,9
vinblastine,symptom,9
[cls],colitis,9
[cls],hus,9
chemotherapy,syndrome,9
chemotherapy,acute,9
chemotherapy,cancer,9
inflammatory,symptom,9
drug,arterial,9
[cls],block,9
[cls],hypotension,9
drug,right,9
zidovudine,[cls],9
zidovudine,symptom,9
metronidazole,[cls],9
a,[cls],9
cyclosporin,[cls],9
citalopram,[cls],9
citalopram,symptom,9
lidocaine,symptom,9
drug,td,9
bcnu,[cls],9
metronidazole,symptom,9
drug,adenocarcinoma,9
prostaglandin,symptom,9
metformin,[cls],9
drug,compulsive,9
tamoxifen,cancer,9
drug,cerebellar,9
drug,schizophrenic,9
ara,symptom,9
metformin,symptom,9
levofloxacin,[cls],9
drug,maculopapular,9
drug,ischemia,9
methotrexate,toxicity,9
[cls],cardiotoxicity,9
ara,[cls],9
angiotensin,symptom,9
angiotensin,[cls],9
prostaglandin,[cls],9
drug,lymphoproliferative,9
drug,torsades,9
drug,retinopathy,9
2b,symptom,9
2b,[cls],9
factor,[cls],9
mequitazine,[cls],9
quinine,thrombocytopenia,9
leflunomide,arthritis,9
ritodrine,symptom,9
clofazimine,[cls],9
pegylated,hepatitis,9
heparin,hit,9
ifn,hepatitis,9
rifampin,[cls],9
baclofen,[cls],9
drug,myositis,9
trazodone,[cls],9
[cls],fulminant,9
omeprazole,[cls],9
levofloxacin,symptom,9
drug,parkinsonism,9
adenosine,symptom,9
baclofen,symptom,9
rifampin,symptom,9
mequitazine,symptom,9
amiodarone,de,9
drug,diseases,9
drug,stevens,9
omeprazole,symptom,9
drug,johnson,9
drug,infectious,9
-,hepatotoxicity,9
verapamil,asthma,9
[cls],effusion,9
agents,symptom,9
agents,[cls],9
dapsone,syndrome,8
drug,blood,8
sorafenib,[cls],8
sorafenib,symptom,8
nevirapine,[cls],8
drug,localized,8
retinoic,acute,8
drug,pigmentation,8
thrombin,[cls],8
thrombin,symptom,8
drug,myalgia,8
colony,symptom,8
isotretinoin,[cls],8
isotretinoin,symptom,8
drug,episode,8
indapamide,[cls],8
indapamide,symptom,8
inflammatory,[cls],8
drug,sjs,8
-,fibrosis,8
nevirapine,symptom,8
trans,acute,8
-,the,8
ifn,chronic,8
oxcarbazepine,[cls],8
haloperidol,[cls],8
drug,cns,8
oxcarbazepine,symptom,8
[cls],hearing,8
drug,reversible,8
octreotide,[cls],8
ace,symptom,8
drug,urinary,8
drug,paroxysmal,8
methotrexate,pulmonary,8
[cls],ocular,8
clozapine,schizophrenia,8
asparaginase,leukemia,8
[cls],aplasia,8
ciprofloxacin,vasculitis,8
interferon,',8
drug,lymphadenopathy,8
drug,cushing,8
lovastatin,rhabdomyolysis,8
-,thyroid,8
maleate,symptom,8
maleate,[cls],8
-,infection,8
ifn,',8
prednisolone,symptom,8
methotrexate,eruption,8
methotrexate,papular,8
fentanyl,syndrome,8
drug,tonic,8
mannitol,symptom,8
drug,focal,8
ethambutol,visual,8
epinephrine,[cls],8
epinephrine,symptom,8
[cls],eosinophilia,8
all,acute,8
haloperidol,symptom,8
drug,pemphigus,8
simvastatin,[cls],8
captopril,renal,8
-,hemolytic,8
drug,pericardial,8
platinum,[cls],8
drug,radiation,8
amiodarone,hypothyroidism,8
ace,[cls],8
simvastatin,symptom,8
prednisolone,[cls],8
[cls],arthritis,8
ifn,disease,8
adenosine,[cls],8
drug,psoriatic,8
lithium,manic,8
antidepressant,[cls],8
drug,manic,8
drug,sarcoidosis,8
drug,melanoma,8
hydroxychloroquine,[cls],8
hydroxychloroquine,symptom,8
bromide,[cls],8
sunitinib,[cls],8
drug,prolongation,8
sunitinib,symptom,8
drug,pressure,8
2a,symptom,8
2a,[cls],8
drug,ms,8
drug,hallucinations,8
[cls],nephrotic,8
antidepressant,symptom,8
lithium,neurotoxicity,8
aspirin,meningioma,8
chemotherapy,carcinoma,8
drug,squamous,8
gold,arthritis,8
2b,chronic,8
drug,primary,8
mirtazapine,[cls],8
interferon,-,8
gabapentin,[cls],8
inhibitors,symptom,8
mitomycin,hemolytic,8
mp,failure,8
inhibitors,[cls],8
-,dysfunction,8
gabapentin,symptom,8
gold,rheumatoid,8
drug,ulcer,8
mirtazapine,symptom,8
drug,depressive,8
drug,intrahepatic,8
ritodrine,[cls],8
drug,endometriosis,8
drug,nerve,8
mefloquine,[cls],8
mp,nephrotic,8
drug,leg,8
phenytoin,hypersensitivity,8
mefloquine,symptom,8
mitomycin,syndrome,8
bromide,symptom,8
carbonate,[cls],8
carbonate,symptom,8
colchicine,myopathy,8
drug,degeneration,8
ifn,c,8
clozapine,agranulocytosis,8
zonisamide,[cls],8
drug,gingival,8
stimulating,symptom,8
drug,bile,7
gentamicin,symptom,7
fentanyl,serotonin,7
drug,sleep,7
drug,vascular,7
cyproterone,symptom,7
drug,hepatotoxic,7
docetaxel,[cls],7
docetaxel,symptom,7
leflunomide,rheumatoid,7
troglitazone,[cls],7
cefuroxime,[cls],7
troglitazone,symptom,7
mtx,arthritis,7
vitamin,[cls],7
-,neutropenia,7
-,seizures,7
vitamin,symptom,7
activator,symptom,7
drug,polymyositis,7
-,hashimoto,7
mitomycin,uremic,7
cefuroxime,symptom,7
drug,deterioration,7
drug,tics,7
allopurinol,symptom,7
pantoprazole,[cls],7
drug,leishmaniasis,7
drug,duct,7
amiodarone,pancreatitis,7
drug,meningioma,7
zafirlukast,symptom,7
ofloxacin,necrolysis,7
ofloxacin,epidermal,7
zafirlukast,[cls],7
tissue,[cls],7
5,acute,7
vigabatrin,symptom,7
ofloxacin,toxic,7
alpha,thyroid,7
tissue,symptom,7
flecainide,symptom,7
pantoprazole,symptom,7
lithium,bipolar,7
[cls],ischemic,7
oxaliplatin,symptom,7
oxaliplatin,[cls],7
l,leukemia,7
drug,thrombocytopenic,7
plasminogen,[cls],7
thiazide,symptom,7
gentamicin,[cls],7
thiazide,[cls],7
lansoprazole,thrombocytopenia,7
plasminogen,symptom,7
amifostine,symptom,7
olanzapine,hyperglycemia,7
drug,facial,7
drug,hyperkalaemia,7
drug,consciousness,7
drug,confusion,7
converting,[cls],7
bleomycin,toxicity,7
diltiazem,[cls],7
doxycycline,[cls],7
lamivudine,[cls],7
drug,red,7
alfa,hepatitis,7
interferon,nephrotic,7
lamivudine,symptom,7
rofecoxib,symptom,7
cbdca,[cls],7
cbdca,symptom,7
drug,painful,7
cisplatin,cancer,7
drug,left,7
drug,bilateral,7
-,toxic,7
-,epidermal,7
[cls],nephritis,7
-,necrolysis,7
itraconazole,hepatitis,7
inh,symptom,7
doxycycline,symptom,7
inh,[cls],7
serotonin,symptom,7
[cls],movement,7
stimulating,[cls],7
b,seizures,7
[cls],hemolytic,7
interferon,cutaneous,7
serotonin,[cls],7
[cls],disorders,7
indomethacin,symptom,7
alfa,cutaneous,7
drug,scleritis,7
drug,ttp,7
heparin,skin,7
heparin,necrosis,7
indomethacin,[cls],7
drug,ileus,7
diltiazem,symptom,7
drug,dementia,7
drug,nms,7
anastrozole,symptom,7
alfa,c,7
adalimumab,symptom,7
drug,shock,7
cyanamide,symptom,7
cyanamide,[cls],7
captopril,acute,7
-,cell,7
drug,toxicities,7
drug,blindness,7
acetate,prostate,7
converting,symptom,7
enzyme,[cls],7
[cls],infarction,7
propranolol,bronchospasm,7
enzyme,symptom,7
[cls],gastrointestinal,7
-,injury,7
c,hemolytic,7
drug,kaposi,7
aza,symptom,7
infliximab,lupus,7
drug,tract,7
desmopressin,[cls],7
nifedipine,symptom,7
nifedipine,[cls],7
desmopressin,symptom,7
desmopressin,hyponatremia,7
cholestyramine,symptom,7
mannitol,[cls],7
aza,[cls],7
[cls],cell,7
cholestyramine,[cls],7
[cls],psychotic,7
anastrozole,[cls],7
[cls],lesions,7
c,syndrome,7
drug,ild,7
colony,[cls],7
activator,[cls],7
human,symptom,7
[cls],infiltrates,7
drug,related,7
mmf,symptom,7
mmf,[cls],7
beta,ms,7
immunoglobulin,[cls],7
immunoglobulin,symptom,7
drug,lichen,7
[cls],allergic,7
[cls],corneal,7
drug,movements,7
insulin,lipoatrophy,7
[cls],hyperplasia,7
drug,viral,7
diphenylhydantoin,[cls],7
diphenylhydantoin,symptom,7
[cls],gastric,7
cyclosporine,hypersensitivity,7
indapamide,diabetes,7
-,systemic,7
5,-,7
[cls],arrest,7
l,pancreatitis,7
asparaginase,pancreatitis,7
drug,angio,7
receptor,symptom,7
oil,symptom,7
receptor,[cls],7
mtx,ra,7
drug,legs,7
lovastatin,[cls],7
lovastatin,symptom,7
[cls],stroke,7
human,[cls],7
drug,esophageal,7
[cls],myocardial,7
drug,amnesia,7
trans,symptom,7
trans,[cls],7
-,promyelocytic,7
-,neutrophilic,7
all,symptom,7
all,[cls],7
drug,congenital,7
drug,defects,7
[cls],muscle,7
drug,intravascular,7
[cls],drug,7
phenytoin,toxicity,7
losartan,symptom,7
drug,vein,7
risperidone,dyskinesia,7
mtx,pneumonitis,7
oil,[cls],7
sumatriptan,[cls],7
5,cancer,7
pegylated,c,7
penicillin,symptom,7
penicillin,[cls],7
drug,cataract,7
drug,ototoxicity,7
cisplatin,colitis,7
drug,impaired,7
chemotherapy,leukemia,7
atra,[cls],7
atra,symptom,7
drug,hodgkin,7
sumatriptan,symptom,7
drug,upper,7
drug,cd,7
-,cancer,7
drug,myelogenous,7
drug,mucositis,7
rituximab,acute,7
[cls],hyponatremia,7
amiodarone,acute,7
drug,myopia,7
spironolactone,[cls],6
tryptophan,symptom,6
[cls],ra,6
erlotinib,ild,6
drug,vulgaris,6
ampicillin,seizures,6
drug,limb,6
cis,[cls],6
[cls],delirium,6
cis,symptom,6
drug,diarrhoea,6
-,necrosis,6
-,lesions,6
drug,cystoid,6
interferon,leukemia,6
drug,multiforme,6
drug,increased,6
tegaserod,colitis,6
drug,perforation,6
captopril,failure,6
infliximab,-,6
colchicine,weakness,6
[cls],pleural,6
gemcitabine,uremic,6
